iter	Passed	Remaining
0	6	6434
1	13	6635
2	19	6414
3	24	6106
4	30	6092
5	35	5898
6	40	5693
7	45	5587
8	49	5493
9	55	5446
10	60	5421
11	66	5438
12	71	5400
13	76	5372
14	81	5361
15	87	5355
16	92	5337
17	98	5349
18	103	5323
19	108	5321
20	114	5325
21	118	5273
22	123	5245
23	128	5237
24	132	5186
25	138	5175
26	144	5189
27	148	5156
28	153	5140
29	158	5133
30	163	5112
31	168	5102
32	174	5127
33	180	5142
34	185	5113
35	190	5096
36	196	5105
37	201	5091
38	205	5073
39	211	5073
40	216	5053
41	220	5034
42	226	5039
43	232	5047
44	237	5031
45	243	5047
46	248	5031
47	253	5019
48	259	5028
49	263	5009
50	268	4989
51	273	4990
52	278	4975
53	282	4953
54	287	4940
55	292	4938
56	297	4920
57	302	4905
58	307	4904
59	312	4892
60	316	4879
61	322	4873
62	326	4860
63	331	4846
64	336	4833
65	341	4827
66	345	4809
67	350	4797
68	354	4787
69	359	4772
70	363	4757
71	368	4755
72	373	4741
73	377	4728
74	382	4722
75	388	4723
76	393	4710
77	397	4703
78	403	4700
79	408	4693
80	412	4684
81	417	4677
82	422	4665
83	427	4663
84	432	4652
85	438	4655
86	442	4643
87	446	4631
88	451	4624
89	456	4613
90	460	4600
91	465	4590
92	469	4582
93	474	4573
94	478	4561
95	484	4558
96	488	4548
97	493	4537
98	497	4525
99	502	4523
100	507	4513
101	511	4503
102	516	4497
103	521	4488
104	525	4478
105	529	4469
106	535	4467
107	539	4456
108	544	4448
109	549	4444
110	553	4435
111	558	4424
112	562	4415
113	568	4419
114	573	4414
115	578	4404
116	584	4409
117	588	4401
118	593	4390
119	598	4392
120	602	4379
121	607	4369
122	612	4363
123	616	4354
124	620	4345
125	625	4335
126	630	4335
127	635	4327
128	639	4319
129	645	4316
130	650	4314
131	654	4305
132	659	4297
133	664	4296
134	669	4288
135	673	4281
136	679	4281
137	684	4272
138	688	4265
139	693	4257
140	698	4253
141	702	4244
142	706	4236
143	711	4231
144	716	4222
145	720	4213
146	724	4203
147	729	4200
148	733	4191
149	738	4184
150	743	4178
151	747	4171
152	752	4166
